sprite1,77,37,195,304
sprite2,1081,37,194,304
sprite3,1420,38,195,304
sprite4,410,39,194,302
sprite5,745,39,193,302
sprite6,1750,39,197,302
sprite11,1418,371,196,305
sprite12,743,372,193,303
sprite13,1081,372,194,303
sprite14,76,373,193,300
sprite15,409,373,195,304
sprite16,1752,373,194,301
sprite26,1439,708,196,301
sprite27,64,709,201,300
sprite28,400,709,195,302
sprite30,868,709,2,1
sprite31,1175,709,4,1
sprite32,1207,709,4,1
sprite33,750,711,196,300
sprite34,1093,711,192,302
sprite36,1857,717,3,1
sprite37,1741,719,205,300
sprite39,1438,759,1,14
sprite47,69,1026,200,313
sprite49,402,1047,202,292
sprite50,727,1059,249,284
sprite51,1048,1093,261,251
sprite55,1365,1198,298,169
sprite56,1704,1198,298,169
sprite63,1080,1391,165,332
sprite64,1768,1392,170,333
sprite65,765,1393,171,333
sprite66,1427,1394,167,334
sprite67,70,1399,209,319
sprite68,427,1402,232,324
sprite78,1072,1728,211,342
sprite79,1739,1738,212,331
sprite80,396,1742,208,329
sprite81,58,1743,211,326
sprite82,733,1743,211,326
sprite83,1410,1743,210,329
