sprite1,357,68,302,279
sprite2,692,75,367,273
sprite3,1086,81,365,272
sprite4,85,84,226,264
sprite5,1477,86,305,280
sprite6,1825,86,229,262
sprite16,1099,353,2,1
sprite17,662,382,271,358
sprite19,14,408,263,332
sprite20,305,417,297,320
sprite21,1025,434,315,305
sprite23,1753,450,323,285
sprite24,1380,456,324,283
sprite36,2077,711,1,2
sprite40,934,726,1,2
sprite41,1350,784,348,300
sprite42,1746,784,402,306
sprite43,663,786,327,294
sprite44,57,788,241,286
sprite45,1019,795,281,289
sprite47,337,807,288,267
sprite57,1063,1160,247,319
sprite58,399,1161,252,319
sprite59,724,1161,249,318
sprite60,68,1165,238,315
sprite61,1413,1173,256,319
sprite62,1750,1173,229,318
sprite63,66,1207,1,5
sprite66,1061,1214,1,6
sprite78,736,1533,194,335
sprite79,83,1535,177,336
sprite80,410,1535,181,336
sprite81,1039,1535,208,338
sprite82,1413,1543,181,338
sprite83,1736,1543,181,330
sprite90,1038,1742,1,6
