sprite1,413,46,187,296
sprite3,754,46,188,296
sprite5,1096,46,188,296
sprite8,1893,46,1,1
sprite9,70,47,190,296
sprite10,1434,47,190,295
sprite11,1778,47,189,296
sprite18,1777,382,189,300
sprite19,69,384,191,298
sprite21,498,384,2,2
sprite22,753,384,189,297
sprite23,1093,384,190,298
sprite24,1508,384,1,1
sprite26,408,387,191,295
sprite27,1433,387,191,295
sprite34,1429,711,227,301
sprite36,742,715,217,300
sprite37,54,717,198,293
sprite38,388,719,217,296
sprite39,1074,719,230,296
sprite42,1762,728,191,290
sprite53,63,1031,199,313
sprite54,400,1049,194,295
sprite55,728,1072,229,273
sprite57,1057,1103,242,241
sprite60,1715,1208,294,137
sprite61,1373,1209,293,135
sprite67,1767,1348,170,340
sprite68,1064,1357,169,339
sprite69,745,1359,170,339
sprite70,1416,1364,169,337
sprite71,54,1369,210,321
sprite73,399,1375,248,322
sprite85,1074,1705,217,330
sprite86,826,1706,6,2
sprite87,1418,1706,215,329
sprite89,736,1709,214,327
sprite90,53,1711,211,325
sprite91,392,1711,214,324
sprite92,1755,1711,214,324
