sprite1,382,59,313,276
sprite2,723,63,376,275
sprite3,1152,73,377,269
sprite4,63,75,218,260
sprite7,1585,78,309,277
sprite8,1992,78,213,260
sprite21,678,377,279,350
sprite22,6,398,256,328
sprite23,316,408,277,317
sprite24,1154,416,316,311
sprite26,1965,445,318,282
sprite27,1696,450,25,1
sprite28,1552,452,315,280
sprite36,5,577,1,2
sprite43,46,773,230,285
sprite44,687,773,290,290
sprite45,1939,775,367,299
sprite46,1105,782,261,287
sprite47,1519,786,360,295
sprite48,347,791,267,270
sprite50,977,843,1,2
sprite62,726,1121,296,319
sprite63,1143,1121,290,320
sprite64,35,1123,284,320
sprite65,380,1123,293,320
sprite68,1541,1138,294,318
sprite69,1970,1138,230,318
sprite81,374,1479,210,327
sprite82,39,1482,209,324
sprite83,736,1486,231,330
sprite84,1978,1489,193,331
sprite85,1162,1493,230,329
sprite86,1548,1497,209,331
sprite90,1976,1696,1,7
