sprite1,838,22,8,2
sprite2,725,25,227,317
sprite3,382,28,229,315
sprite4,42,29,228,315
sprite5,1753,29,226,314
sprite8,1066,30,230,313
sprite9,1409,30,224,313
sprite28,39,365,223,314
sprite29,384,365,222,317
sprite30,724,365,222,315
sprite31,1406,365,226,315
sprite32,1751,365,223,315
sprite33,1066,366,223,313
sprite43,270,556,19,2
sprite46,1748,626,1,2
sprite47,1445,694,211,316
sprite48,387,696,213,318
sprite49,836,696,8,1
sprite50,747,699,212,316
sprite51,43,701,209,315
sprite52,1090,703,213,313
sprite55,1753,707,209,316
sprite64,55,1024,211,324
sprite65,395,1037,202,311
sprite66,717,1057,252,287
sprite67,1234,1090,2,1
sprite68,1237,1090,1,1
sprite69,1049,1092,264,260
sprite72,1370,1201,311,149
sprite73,1714,1201,315,149
sprite80,1752,1351,184,339
sprite81,1050,1356,183,337
sprite82,728,1358,185,339
sprite83,48,1360,214,330
sprite84,1401,1361,186,339
sprite86,387,1369,266,331
sprite94,735,1703,210,332
sprite95,1078,1703,211,331
sprite96,390,1704,211,330
sprite97,48,1705,213,329
sprite98,1753,1705,213,330
sprite99,1417,1706,215,328
