sprite1,536,67,13,1
sprite2,377,69,312,279
sprite3,709,77,372,272
sprite4,1111,82,356,271
sprite5,84,86,206,263
sprite6,1830,87,206,261
sprite7,1490,88,292,279
sprite18,1109,341,1,4
sprite19,684,389,250,351
sprite20,21,407,251,332
sprite21,333,420,255,318
sprite22,1091,432,319,307
sprite23,1813,455,295,280
sprite24,1480,462,291,277
sprite35,1478,726,1,2
sprite36,868,786,10,1
sprite37,1343,786,334,298
sprite38,681,788,259,270
sprite39,977,790,246,270
sprite40,1866,793,1,1
sprite41,1731,794,375,296
sprite42,62,796,222,285
sprite43,383,822,244,247
sprite50,716,1164,258,313
sprite51,1056,1164,258,313
sprite52,57,1165,250,314
sprite53,391,1166,261,314
sprite54,1406,1176,260,315
sprite55,1737,1176,242,316
sprite67,757,1478,4,1
sprite70,724,1532,204,336
sprite71,153,1537,13,1
sprite72,488,1537,4,1
sprite73,70,1539,179,331
sprite74,399,1539,179,332
sprite75,1034,1539,208,334
sprite76,1726,1539,163,334
sprite77,1400,1543,179,336
