sprite1,731,42,351,293
sprite2,1472,42,297,300
sprite3,1102,43,347,291
sprite4,76,44,234,292
sprite5,407,45,303,297
sprite7,1809,46,239,293
sprite20,1183,361,3,3
sprite21,664,367,273,375
sprite22,16,381,260,361
sprite23,310,395,285,346
sprite24,1022,406,320,336
sprite25,1380,427,336,316
sprite26,1802,427,307,316
sprite30,1021,658,1,2
sprite37,675,802,287,306
sprite38,1052,803,262,307
sprite39,1409,803,329,314
sprite40,1749,805,354,326
sprite41,68,807,232,289
sprite42,375,810,273,286
sprite49,674,913,1,1
sprite50,674,915,1,1
sprite51,674,917,1,2
sprite58,89,1145,254,338
sprite59,747,1147,259,343
sprite60,1085,1147,261,342
sprite62,423,1148,261,341
sprite63,1781,1150,207,343
sprite64,1439,1151,259,341
sprite75,745,1416,1,2
sprite81,885,1540,3,1
sprite82,783,1543,217,336
sprite83,111,1545,187,338
sprite84,436,1546,186,336
sprite85,1093,1547,223,336
sprite86,1769,1548,221,335
sprite87,1432,1553,196,337
sprite93,1001,1714,1,6
